Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
2017,1,52.367597,4.900158,Amstel 1,,Amsterdam,,,Netherlands,AP,Stadhuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-1,"(52.367597,4.900158)"
2017,2,52.367679,4.889718,Singel 425,,Amsterdam,,,Netherlands,A,Universiteitsbibliotheek Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-2,"(52.367679,4.889718)"
2017,3,52.373543,4.899359,Oudezijds Achterburgwal 45,,Amsterdam,,,Netherlands,A,Leger des Heils,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-3,"(52.373543,4.899359)"
2017,4,52.368948,4.927938,Czaar Peterstraat 22,,Amsterdam,,,Netherlands,AP,Kensho Premium Fitness,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-4,"(52.368948,4.927938)"
2017,5,52.370274,4.904181,Nieuwe Batavierstraat 2,,Amsterdam,,,Netherlands,AP,OBS De Witte Olifant,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-5,"(52.370274,4.904181)"
2017,6,52.361283,4.905703,Voorm Stadstimmertuin 4-6,,Amsterdam,,,Netherlands,AP,Voormalige Stadstimmertuin,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-6,"(52.361283,4.905703)"
2017,7,52.373099,4.902697,Gymlokaal tegenover Lastageweg 4-18,,Amsterdam,,,Netherlands,B,OBS De Witte Olifant,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-7,"(52.373099,4.902697)"
2017,8,52.372527,4.875699,Marnixstraat 170,,Amsterdam,,,Netherlands,A,Brandweer Kazerne Hendrik,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-8,"(52.372527,4.875699)"
2017,9,52.378019,4.892701,Singel 46,,Amsterdam,,,Netherlands,C,Cultura Nederland,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,niet rolstoeltoegankelijk,,Centrum,2017-9,"(52.378019,4.892701)"
2017,10,52.369468,4.930003,Kraijenhoffstraat 32 C,,Amsterdam,,,Netherlands,AP,Ouder-Kind teams Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-10,"(52.369468,4.930003)"
2017,11,52.377215,4.881108,Anjeliersstraat 153,,Amsterdam,,,Netherlands,AP,Theo Thijssenschool,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-11,"(52.377215,4.881108)"
2017,12,52.368184,4.909754,Plantage Parklaan 20 A,,Amsterdam,,,Netherlands,AP,Korfbalvereniging Swift,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-12,"(52.368184,4.909754)"
2017,13,52.381714,4.884626,Palmstraat 7,,Amsterdam,,,Netherlands,A,De Vinse School,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-13,"(52.381714,4.884626)"
2017,14,52.366421,4.879117,Nieuwe Passeerdersstraat 1,,Amsterdam,,,Netherlands,B,Jeugdtheater De Krakeling,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-14,"(52.366421,4.879117)"
2017,15,52.369468,4.930003,Kraijenhoffstraat 32 C,,Amsterdam,,,Netherlands,AP,Ouder-Kind teams Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-15,"(52.369468,4.930003)"
2017,16,52.363823,4.881026,Leidsekade 97,,Amsterdam,,,Netherlands,B,American Hotel Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-16,"(52.363823,4.881026)"
2017,17,52.375236,4.876549,Marnixkade 109 F,,Amsterdam,,,Netherlands,AP,Motivaction International BV,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-17,"(52.375236,4.876549)"
2017,18,52.369853,4.880913,Elandsgracht 70,,Amsterdam,,,Netherlands,AP,Het Claverhuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-18,"(52.369853,4.880913)"
2017,19,52.371951,4.903488,Recht Boomssloot 52,,Amsterdam,,,Netherlands,AP,Huis van de Buurt De Boomsspijker,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-19,"(52.371951,4.903488)"
2017,20,52.361444,4.896702,Prinsengracht 756,,Amsterdam,,,Netherlands,AP,Kerk De Duif,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-20,"(52.361444,4.896702)"
2017,21,52.37464,4.903884,Prins Hendrikkade 108,,Amsterdam,,,Netherlands,B,Grand Hotel Amrath,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-21,"(52.37464,4.903884)"
2017,22,52.381128,4.890404,Haarlemmerstraat 124-126,,Amsterdam,,,Netherlands,B,Posthoornkerk,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-22,"(52.381128,4.890404)"
2017,23,52.365706,4.892838,Vijzelstraat 20,,Amsterdam,,,Netherlands,B,Atria Kennisinstituut,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-23,"(52.365706,4.892838)"
2017,24,52.38677,4.890062,Grote Bickersstraat 102,,Amsterdam,,,Netherlands,AP,School De Eilanden,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-24,"(52.38677,4.890062)"
2017,25,52.36328,4.912861,Nieuwe Achtergracht 170,,Amsterdam,,,Netherlands,AP,Crea Cultureel Studentencentrum,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-25,"(52.36328,4.912861)"
2017,26,52.367702,4.888631,Singel 452,,Amsterdam,,,Netherlands,A,Doopsgezinde Singelkerk,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-26,"(52.367702,4.888631)"
2017,27,52.364691,4.910555,Roetersstraat 2,,Amsterdam,,,Netherlands,AP,Dr. Sarphatihuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-27,"(52.364691,4.910555)"
2017,28,52.368528,4.886331,Herengracht 366,,Amsterdam,,,Netherlands,B,Het Cromhouthuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-28,"(52.368528,4.886331)"
2017,29,52.371503,4.912479,Prins Hendrikkade 600,,Amsterdam,,,Netherlands,B,Architectuur Centrum Amsterdam (ARCAM),,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-29,"(52.371503,4.912479)"
2017,30,52.376137,4.894176,Nieuwezijds Kolk 25,,Amsterdam,,,Netherlands,B,Akhnaton,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-30,"(52.376137,4.894176)"
2017,31,52.371414,4.921819,Kleine Wittenburgerstr 201,,Amsterdam,,,Netherlands,AP,De Witte Boei,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-31,"(52.371414,4.921819)"
2017,32,52.366443,4.897043,Rembrandtplein 19,,Amsterdam,,,Netherlands,A,NH Caransa,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-32,"(52.366443,4.897043)"
2017,33,52.383877,4.883749,Vinkenstraat 185,,Amsterdam,,,Netherlands,AP,Woonzorgcentrum De Rietvinck,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-33,"(52.383877,4.883749)"
2017,34,52.3707,4.920931,Kleine Wittenburgerstr 100,,Amsterdam,,,Netherlands,AP,De Kleine BOE,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-34,"(52.3707,4.920931)"
