OBJECTNUMMER,Naam,Address,Stemdistrict,Toegankelijkheid_code,Toegankelijkheid,Open_speciaal,Openingstijden,Stadsdeel,LNG,LAT
1,Stadhuis,Amstel 1,001-002,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.900.158,52.367.597
2,Universiteitsbibliotheek Amsterdam,Singel 425,3,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.889.718,52.367.679
3,Leger des Heils,Oudezijds Achterburgwal 45,4,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.899.359,52.373.543
4,Kensho Premium Fitness,Czaar Peterstraat 22,5,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.927.938,52.368.948
5,OBS De Witte Olifant,Nieuwe Batavierstraat 2,6,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.904.181,52.370.274
6,Voormalige Stadstimmertuin,Voorm Stadstimmertuin 4-6,7,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.905.703,52.361.283
7,OBS De Witte Olifant,Gymlokaal tegenover Lastageweg 4-18,8,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.902.697,52.373.099
8,Brandweer Kazerne Hendrik,Marnixstraat 170,9,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.875.699,52.372.527
9,Cultura Nederland,Singel 46,10,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.892.701,52.378.019
10,Ouder-Kind teams Amsterdam,Kraijenhoffstraat 32 C,11,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.930.003,52.369.468
11,Theo Thijssenschool,Anjeliersstraat 153,12,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.881.108,52.377.215
12,Korfbalvereniging Swift,Plantage Parklaan 20 A,13,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.909.754,52.368.184
13,De Vinse School,Palmstraat 7,15,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.884.626,52.381.714
14,Jeugdtheater De Krakeling,Nieuwe Passeerdersstraat 1,18,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.879.117,52.366.421
15,Ouder-Kind teams Amsterdam,Kraijenhoffstraat 32 C,20,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.930.003,52.369.468
16,American Hotel Amsterdam,Leidsekade 97,21,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.881.026,52.363.823
17,Motivaction International BV,Marnixkade 109 F,23,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.876.549,52.375.236
18,Het Claverhuis,Elandsgracht 70,24,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.880.913,52.369.853
19,Huis van de Buurt De Boomsspijker,Recht Boomssloot 52,25,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.903.488,52.371.951
20,Kerk De Duif,Prinsengracht 756,026-027,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.896.702,52.361.444
21,Grand Hotel Amrath,Prins Hendrikkade 108,28,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.903.884,5.237.464
22,Posthoornkerk,Haarlemmerstraat 124-126,029-030,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.890.404,52.381.128
23,Atria Kennisinstituut,Vijzelstraat 20,31,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.892.838,52.365.706
24,School De Eilanden,Grote Bickersstraat 102,032-033,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.890.062,5.238.677
25,Crea Cultureel Studentencentrum,Nieuwe Achtergracht 170,34,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.912.861,5.236.328
26,Doopsgezinde Singelkerk,Singel 452,35,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.888.631,52.367.702
27,Dr. Sarphatihuis,Roetersstraat 2,038-039,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.910.555,52.364.691
28,Het Cromhouthuis,Herengracht 366,40,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.886.331,52.368.528
29,Architectuur Centrum Amsterdam (ARCAM),Prins Hendrikkade 600,41,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.912.479,52.371.503
30,Akhnaton,Nieuwezijds Kolk 25,42,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.894.176,52.376.137
31,De Witte Boei,Kleine Wittenburgerstr 201,043-044,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.921.819,52.371.414
32,NH Caransa,Rembrandtplein 19,45,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.897.043,52.366.443
33,Woonzorgcentrum De Rietvinck,Vinkenstraat 185,46,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.883.749,52.383.877
34,De Kleine BOE,Kleine Wittenburgerstr 100,047-048,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.920.931,523.707
35,Crea Cultureel Studentencentrum,Nieuwe Achtergracht 170,49,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.912.861,5.236.328
36,Woonzorgcentrum De Rietvinck,Vinkenstraat 185,50,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.883.749,52.383.877
37,De Toneelmakerij,Lauriergracht 99 C,51,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.878.745,52.370.725
38,Galerie Fontana,Lauriergracht 11,52,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.882.141,52.371.584
39,Basisschool de Kleine Reus,Nieuwe Looiersstraat 9,053-054,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,489.226,52.360.868
40,Het Marnix,Marnixplein 1,56,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.878.485,52.377.985
41,Centraal Station - Restaurant 1e klas,Stationspln 15-Perron 2B,057-058,A,rolstoeltoegankelijk,1,6:30 - 21:00 uur,Centrum,4.900.167,52.378.822
42,American Hotel Amsterdam,Leidsekade 97,59,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.881.026,52.363.823
43,Stichting De Oude Gracht,Keizersgracht 218 B,060-061,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.884.545,52.373.239
44,Noorderkerk,Noordermarkt 44,62,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,488.631,52.379.538
45,Het Bushuis,Kloveniersburgwal 48,63,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.898.126,52.370.797
46,UvA - locatie P.C. Hoofthuis,Spuistraat 134 - 3e etage,64,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.889.837,52.374.097
47,De Vinse School,Palmstraat 7,65,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.884.626,52.381.714
48,De Rode Hoed,Keizersgracht 100,66,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.887.275,52.377.349
49,Noorderkerk,Noordermarkt 44,67,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,488.631,52.379.538
50,Museumwerf `t Kromhout,Kruithuisstraat 25,068-069,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.920.445,52.367.975
51,Amsterdam Museum,Sint Luciënsteeg 27,70,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.890.714,52.370.488
52,Bezoekerscentrum De Nederlandsche Bank,Sarphatistraat 1 - 3,071-072,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.901.311,52.360.187
53,Academie voor Theater en Dans,Jodenbreestraat 3,73,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.901.663,52.369.598
54,Conservatorium van Amsterdam,Oosterdokskade 151,74,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.908.907,52.375.955
55,Ateliers Westerdok,Westerdok 318,76,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.891.647,52.384.314
56,De Noorderspeeltuin,Tweede Lindendwarsstraat 10,80,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.882.447,52.379.539
57,OBA Javaplein,Javaplein 2,81,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.938.764,52.364.154
58,Kindervreugd,Kramatweg 31 A,82,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.946.451,52.364.776
59,Flevoparkschool,Soembawastraat 61,84,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.943.967,52.363.554
60,Verenigingsgebouw Batavia,Tidorestraat 107,87,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.940.738,5.236.054
61,Havo De Hof,Ingang Wijttenbachstraat,88,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.929.081,52.360.648
62,Flevoparkschool,Soembawastraat 61,90,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.943.967,52.363.554
63,Loods 6,KNSM-laan 143,91,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.938.778,52.377.267
64,OBS De Kleine Kapitein,Tosaristraat 30 A,92,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.922.795,5.237.921
65,Int. Instituut voor Sociale Geschiedenis,Cruquiusweg 31,93,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.939.289,52.368.875
66,De Nieuwe KHL,Oostelijke Handelskade 44,94,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.936.285,52.374.049
67,A08 Events Amsterdam,KNSM-laan 808,95,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.946.346,52.376.765
68,Basisschool Onze Toekomst,Bataviastraat 24 bg,97,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,494.217,52.361.228
