OBJECTNUMMER;Naam;Adres;Stemdistrict;Toegankelijkheid_code;Toegankelijkheid;Open_speciaal;Openingstijden;Stadsdeel;LNG;LAT
1;Stadhuis;Amstel 1;001-002;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.900158;52.367597
2;Universiteitsbibliotheek Amsterdam;Singel 425;3;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.889718;52.367679
3;Leger des Heils;Oudezijds Achterburgwal 45;4;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.899359;52.373543
4;Kensho Premium Fitness;Czaar Peterstraat 22;5;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.927938;52.368948
5;OBS De Witte Olifant;Nieuwe Batavierstraat 2;6;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.904181;52.370274
6;Voormalige Stadstimmertuin;Voorm Stadstimmertuin 4-6;7;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.905703;52.361283
7;OBS De Witte Olifant;Gymlokaal tegenover Lastageweg 4-18;8;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.902697;52.373099
8;Brandweer Kazerne Hendrik;Marnixstraat 170;9;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.875699;52.372527
9;Cultura Nederland;Singel 46;10;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.892701;52.378019
10;Ouder-Kind teams Amsterdam;Kraijenhoffstraat 32 C;11;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.930003;52.369468
11;Theo Thijssenschool;Anjeliersstraat 153;12;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.881108;52.377215
12;Korfbalvereniging Swift;Plantage Parklaan 20 A;13;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.909754;52.368184
13;De Vinse School;Palmstraat 7;15;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.884626;52.381714
14;Jeugdtheater De Krakeling;Nieuwe Passeerdersstraat 1;18;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.879117;52.366421
15;Ouder-Kind teams Amsterdam;Kraijenhoffstraat 32 C;20;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.930003;52.369468
16;American Hotel Amsterdam;Leidsekade 97;21;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.881026;52.363823
17;Motivaction International BV;Marnixkade 109 F;23;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.876549;52.375236
18;Het Claverhuis;Elandsgracht 70;24;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.880913;52.369853
19;Huis van de Buurt De Boomsspijker;Recht Boomssloot 52;25;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.903488;52.371951
20;Kerk De Duif;Prinsengracht 756;026-027;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.896702;52.361444
21;Grand Hotel Amrath;Prins Hendrikkade 108;28;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.903884;52.37464
22;Posthoornkerk;Haarlemmerstraat 124-126;029-030;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.890404;52.381128
23;Atria Kennisinstituut;Vijzelstraat 20;31;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.892838;52.365706
24;School De Eilanden;Grote Bickersstraat 102;032-033;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.890062;52.38677
25;Crea Cultureel Studentencentrum;Nieuwe Achtergracht 170;34;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.912861;52.36328
26;Doopsgezinde Singelkerk;Singel 452;35;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.888631;52.367702
27;Dr. Sarphatihuis;Roetersstraat 2;038-039;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.910555;52.364691
28;Het Cromhouthuis;Herengracht 366;40;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.886331;52.368528
29;Architectuur Centrum Amsterdam (ARCAM);Prins Hendrikkade 600;41;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.912479;52.371503
30;Akhnaton;Nieuwezijds Kolk 25;42;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.894176;52.376137
31;De Witte Boei;Kleine Wittenburgerstr 201;043-044;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.921819;52.371414
32;NH Caransa;Rembrandtplein 19;45;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.897043;52.366443
33;Woonzorgcentrum De Rietvinck;Vinkenstraat 185;46;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.883749;52.383877
34;De Kleine BOE;Kleine Wittenburgerstr 100;047-048;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.920931;52.3707
35;Crea Cultureel Studentencentrum;Nieuwe Achtergracht 170;49;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.912861;52.36328
36;Woonzorgcentrum De Rietvinck;Vinkenstraat 185;50;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.883749;52.383877
37;De Toneelmakerij;Lauriergracht 99 C;51;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.878745;52.370725
38;Galerie Fontana;Lauriergracht 11;52;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.882141;52.371584
39;Basisschool de Kleine Reus;Nieuwe Looiersstraat 9;053-054;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.89226;52.360868
40;Het Marnix;Marnixplein 1;56;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.878485;52.377985
41;Centraal Station - Restaurant 1e klas;Stationspln 15-Perron 2B;057-058;A;rolstoeltoegankelijk;1;6:30 - 21:00 uur;Centrum;4.900167;52.378822
42;American Hotel Amsterdam;Leidsekade 97;59;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.881026;52.363823
43;Stichting De Oude Gracht;Keizersgracht 218 B;060-061;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.884545;52.373239
44;Noorderkerk;Noordermarkt 44;62;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.88631;52.379538
45;Het Bushuis;Kloveniersburgwal 48;63;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.898126;52.370797
46;UvA - locatie P.C. Hoofthuis;Spuistraat 134 - 3e etage;64;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.889837;52.374097
47;De Vinse School;Palmstraat 7;65;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.884626;52.381714
48;De Rode Hoed;Keizersgracht 100;66;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.887275;52.377349
49;Noorderkerk;Noordermarkt 44;67;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.88631;52.379538
50;Museumwerf `t Kromhout;Kruithuisstraat 25;068-069;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.920445;52.367975
51;Amsterdam Museum;Sint Luciënsteeg 27;70;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.890714;52.370488
52;Bezoekerscentrum De Nederlandsche Bank;Sarphatistraat 1 - 3;071-072;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.901311;52.360187
53;Academie voor Theater en Dans;Jodenbreestraat 3;73;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Centrum;4.901663;52.369598
54;Conservatorium van Amsterdam;Oosterdokskade 151;74;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.908907;52.375955
55;Ateliers Westerdok;Westerdok 318;76;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Centrum;4.891647;52.384314
56;De Noorderspeeltuin;Tweede Lindendwarsstraat 10;80;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Centrum;4.882447;52.379539
57;OBA Javaplein;Javaplein 2;81;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.938764;52.364154
58;Kindervreugd;Kramatweg 31 A;82;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.946451;52.364776
59;Flevoparkschool;Soembawastraat 61;84;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.943967;52.363554
60;Verenigingsgebouw Batavia;Tidorestraat 107;87;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.940738;52.36054
61;Havo De Hof;Ingang Wijttenbachstraat;88;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Oost;4.929081;52.360648
62;Flevoparkschool;Soembawastraat 61;90;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.943967;52.363554
63;Loods 6;KNSM-laan 143;91;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.938778;52.377267
64;OBS De Kleine Kapitein;Tosaristraat 30 A;92;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.922795;52.37921
65;Int. Instituut voor Sociale Geschiedenis;Cruquiusweg 31;93;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.939289;52.368875
66;De Nieuwe KHL;Oostelijke Handelskade 44;94;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Oost;4.936285;52.374049
67;A08 Events Amsterdam;KNSM-laan 808;95;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.946346;52.376765
68;Basisschool Onze Toekomst;Bataviastraat 24 bg;97;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.94217;52.361228
69;BAC Amsterdam;R.J.H. Fortuynplein 4;98;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.946599;52.372057
70;Int. Instituut voor Sociale Geschiedenis;Cruquiusweg 31;99;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.939229;52.368973
